Label,Message
spam,"Dear Student, Its never too late-clear your basics-work hard to work smart.Plan your daily schedule with experts also batches starting for ENG,ACCOUNTS,B.ST,IP & ECO at our SEC-3 Branch,ROHINI Near Ayodhya Chowk & Pitampura branch near Pitampura Metro station.Call 8447841933 V-STUDY"
spam,"Join V-STUDY and score excellent marks in class 12th (Our Students feedback-95%+ coverage from our assignments,class room examples & test series) Batches starting for ENG, IP, ACCOUNTS,B.ST & ECO in SEC-3,ROHINI Near Ayodhya Chowk & Near Pitampura Metro Stn. Call 8447841933 V-STUDY (VIDYASAGAR INSTITUTE)"
spam,"Join crash courses for B.ST,A/C'S,ECO,ENG,&IP (fee only Rs.5000 per sub) from expd faculties.Branches in Sec-3 Rohini & Pitampura. Call 7503507230.V-STUDY"
spam,"CRASH COURSES by BEST POOL OF FACULTY. ENGLISH by MA(ENG) MEGHA SURI, ACCOUNTS by CS NITIN GUPTA,ECO by CS NITIN, IP by MCA RAHUL starting today(fee rs.5000/sub only) at D-15/27-28,SEC-3,ROHINI Near Ayodhya Chowk & FD-6,2nd Floor, Near Pitampura Metro Stn. Call 7503507230 V-STUDY"
ham,"Dear Ola Shuttle user, get 60% Off on your next 2 shuttle rides. Use code: SHUTTLE60. Valid for first 5,000 users. Book Now !"
spam,"Please pay bill amount of Rs. 29 in cash for your Ola ride, served by Rajendra."
spam,Watch the undercover story of Subhash Chandra Bose. Unveiling Indias biggest mystery BOSE: DEAD or ALIVE watch now on Vodafone Play! http://bit.ly/2x7JQwz
spam,"Bollywood Beauties go Bold. Get Videos, Wallpapers of Bold Bollywood Beauties. Click http://hng.am/8291"
spam,"Ab hum laye hai aapke liye romantic calletunes ka bhandaar,Download kare Callertune app Click http://hyperurl.co/ctt aur payein FREE profile tunes bhi"
spam,Govt Mandate: Update Aadhaar to avoid blocking of your Axis Bank Account by 31/03/18. Visit your branch or click goo.gl/d214uS. Kindly ignore if already updated
spam,"You have used 50% of your 1 GB daily high speed internet quota on your Jio Number 8178390589 as of 18-Nov-17 20:57 Hrs. To track your balance and usage, click http://tiny.jio.com/TrackBalance or give a missed call to 1299 to receive details via sms"
spam,"You have used 50% of your 1 GB daily high speed internet quota on your Jio Number 8178390589 as of 04-Dec-17 13:57 Hrs. To track your balance and usage, click http://tiny.jio.com/TrackBalance or give a missed call to 1299 to receive details via sms"
spam,"You have used 50% of your 1 GB daily high speed internet quota on your Jio Number 8178390589 as of 07-Jan-18 20:52 Hrs. To track your balance and usage, click http://tiny.jio.com/TrackBalance or give a missed call to 1299 to receive details via sms"
spam,Welcome to Jio-UP & Uttarakhand. Enjoy Free Incoming calls and Outgoing calls anywhere in India while roaming. 4G Data & SMS benefits will be as per your plan.
spam,Welcome to Jio-UP. Enjoy Free Incoming calls and Outgoing calls anywhere in India while roaming. 4G Data & SMS benefits will be as per your plan.
spam,"You have used 100% of your high speed internet quota from Data account of MRP 399 on your Jio Number 8178390589 as of 09-Jan-18 19:14 Hrs. Internet speed will be reduced in case you do not have any active data plan. To continue enjoying 4G speed, recharge now. "
ham,Use code UP30 and get 50% off up to Rs 30 on 3 Micro/Mini/Prime rides till 5th Jan. Book Now on bit.ly/C_SMS
ham,Use code MORNING50 and get 50% off upto Rs 50 on 3 Micro/Mini/Prime rides between 6AM & 11AM. Valid till 14th Jan. Book Now on bit.ly/C_SMS
ham,Use code UP30 and get 50% off up to Rs 30 on 3 Micro/Mini/Prime rides till 12th Jan. Book Now on bit.ly/C_SMS
spam,"Write India's author of the month, Twinkle Khanna has unveiled her passage. Read it on www.toi.in/writeindia and start weaving your story now."
ham,Chal
spam,"Dear Customer, You have a missed call from +917985862318 . The last missed call was at 11:18 PM on 14-Oct-2017 . Thankyou, Team Jio."
ham,Chal be vo Mera style nhi hai
ham,Aur vaise bhi samajhdaar samajh jaate hai
ham,Bina btaye
ham,Chup re gadhe
ham,Drr gayi main to Teri dhmki sw
ham,Stupid meerut
ham,Gadha hi rhega tu
ham,Tujhe bdhi chinta ho rhi hai
ham,Shi log hai
ham,Nhi
spam,1/2 BHK @ Rs.16.5 Lac (All Incl) In GURGAON Call 9210136830
spam,"It is a spam message and I want to rephrase this message, completely to fill my dataset with spam messgaes. Now rephrase it entirely , totally differently "
spam,"Get a Pension of Rs.30,000 per month & Get Rs.60 Lacs for your family by investing Rs.3,000 per month + Save Tax. T&C apply. For details, sms PEN to 56161"
spam,Welcome to Jio-UP. Enjoy Free Incoming calls and Outgoing calls anywhere in India while roaming. 4G Data & SMS benefits will be as per your plan.
spam,VODAFONE special FREE gift for you! Dial *444*505*00# and get all mobile calls at 30p/min for 90 days completely FREE! OFFER only till 23/09/17!
spam,Welcome to Vodafone UP East. Now ROAM LIKE HOME! Get home rates across India with our NEW Roam like Home pack .  Dial *121*121# to know more.
spam,Welcome to Vodafone UP West. Now ROAM LIKE HOME! Get home rates across India with our NEW Roam like Home pack .  Dial *121*121# to know more.
ham,Your code is 1824. Return to the RailWire Wi-Fi website and enter the code to get online.
spam,Vodafone SuperNet UP West mein aapka swagat hai. Poore Bharat mein FREE ROAMING ka anand uthayein ! Ab har Incoming call hogi Free!
spam,"Connect to fast, free 'RailWire Wi-Fi' at the boarding station powered by Google Station. Learn how to connect https://goo.gl/geu9RC"
spam,BHIM makes money transfer as easy as sending a text message. Start using BHIM from today and be cashfree. Click here bit.ly/2ujQmwe
spam,"While receiving international call, if an Indian number or no number is displayed on your phone, please inform on toll free number 1800110420 /1963."
ham,New way to New Year! End the year with a perfect trip. Use code HOLIDAY and get Rs 250 off on your 1st Ola Outstation ride. Know More https://goo.gl/Jhd4oC
ham,Use code MORNING50 and get 50% off upto Rs 50 on 3 Micro/Mini/Prime rides between 6AM & 11AM. Valid till 7th Jan. Book Now on bit.ly/C_SMS
ham,Use code UP50 and get 50% off up to Rs 50 on 3 Micro/Mini/Prime rides till 7th Jan. Book Now on bit.ly/C_SMS
spam,"Dear Customer, we are offering you STD+Loc 30p/m for 28 days completely FREE. Dial *121*00# to activate now, Charges = 0 Rs. Dial *121# for Full talktime offer! "
spam,Enjoy unlmtd loc+std+roam calls & 1GB/day for 28Days only at Rs198. Available on Etop or click http://www.vodafone.in/mvvf1 to recharge
spam,Enjoy unlmtd loc+std+roam calls & 1GB/day for 28Days only at Rs198. Available on Etop or click http://www.vodafone.in/mvvf1 to recharge
ham,Use code UP30 and get 50% off up to Rs 30 on 3 Micro/Mini/Prime rides till 5th Jan. Book Now on bit.ly/C_SMS
ham,Use code MORNING50 and get 50% off upto Rs 50 on 3 Micro/Mini/Prime rides between 6AM & 11AM. Valid till 7th Jan. Book Now on bit.ly/C_SMS
ham,For love of God come online!
ham,What. Why. Not allowed xD
ham,Where are you? Come online for five.
ham,Are You in train yet? Care to reply pliss
ham,Goodnight then?
ham,Aaj Nhi aana h?
ham,"Hotspot. Use kar lo :""3 kissi ke pass nhi h ?"
ham,Online aa jao
ham,Okay wait for five
ham,Hey? Um. You okay right?
ham,Umm ok. I understand. Take care. Ly more.
ham,Do you think that maybe we can talk?
ham,"Back,babe ;*"
ham,Also. Thanks for the flower *.* your first one to me! *_* love you so much!
ham,Doesn't matter how much time we get to spend together ..I start missing you as soon as I get back home
ham,Not bad huh? ;*
ham,Oh god. I can't sleep. Thank you so much. And still so wet.
ham,WiFi went off . Fml.
ham,Sorry
ham,Yaar. Rehne De.
ham,Today
ham,Okay? Maybe we could meet
ham,Or maybe just wait
ham,I don't think it'll be possible today. I'm sorry
ham,Oh and..say hi to Yug!
ham,You there? Everything okay?
ham,Where are you? Come online!!!!
ham,I'm so sorry. This place has no privacy
ham,My freaking family! What else!? Jab bhi baat karne baithti hu koi aa jaata h! I'm so sorry. Upar se WiFi toh pta Nhi kya chul hoti h band karne ki
ham,Did she see it? Reply pls
ham,Just reply to all those questions.
ham,Why you no have bal? :/ I feel like bugging you all the time
ham,"Ok. I didn't know you were such an artist *_* iron man has been my fav. *_* and that one. You nailed it , man. *hats Off , sir*"
ham,Come online?
ham,I'm having bad stomach ache. Periods. I'll come around 4. It's killing me.
ham,You see..Idk. Well grown ups don't get it. Okay? So. Idk.
ham,But big enough. And. Mom is upset bcs she thought we were mature enough not to fall for shit like that.
ham,Hey. It's a little storm back at my place. The only thing I care about Is my bond with mom. Its not even such big of deal as much these people made it look like.
spam,Govt Mandate: Update Aadhaar to avoid blocking of your Axis Bank Account by 31/03/18. Visit your branch or click goo.gl/U7Zp79. Kindly ignore if already updated
spam,Govt Mandate: Update Aadhaar to avoid blocking of your Axis Bank Account by 31/03/18. Visit your branch or click goo.gl/d214uS. Kindly ignore if already updated
spam,"Write India: Last date of submission for author Chitra B Divakaruni, has been extended. Read her passage on www.toi.in/writeindia and submit your story by 4 Jan"
spam,"Service Message : Dial *111# (toll free). to know your prepaid a/c detail BEST FIT OFFER, RECHARGE, DATA PACK, and much more"
spam,Dial *111# (toll free) and get your Vodafone account details instantly on your handset. Dial now!!
spam,"Join crash courses for B.ST,ACCOUNTS,ECO,ENG,&IP (fee only Rs.5000 per sub) from expd faculties.Branches in Sec-3 Rohini & Pitampura. Call 7503507230.V-STUDY"
spam,We hope you liked the All New Domino's Pizza. We would Love to hear your feedback. Click http://piza.io/d/a.asp?i=88118239953116575
spam,"Enjoy Ur Fav Peppy Paneer Pizza at All New DOMINO'S with Bigger & More Toppings,Soft Crust,Tastier Sauce & More Cheese. WalkIn/Order@ 68886888/ goo.gl/CQThqp"
spam,"Enjoy Ur Fav Peppy Paneer Pizza at All New DOMINO'S with Bigger & More Toppings,Soft Crust,Tastier Sauce & More Cheese. WalkIn/Order@ 68886888/ goo.gl/CQThqp"
ham,We have received your order no.149 amounting to Rs.1550 and its being prepared.You can track your order at http://bit.ly/1PfGWYl Thank You!
spam,We hope you liked the All New Domino's Pizza. We would Love to hear your feedback. Click http://piza.io/d/a.asp?i=20638989953116575
spam,Be the Change you wish to see & enjoy the Change@ All New DOMINO'S. Get 20%off on Med Pizzas Today! WalkIn/Order@ 68886888/ goo.gl/CQThqp Cpn: CRMC83D178BE4 T&C
spam,Enjoy Super Value Friday at the All New DOMINO'S. Get 2 Medium Pizzas starting@ 199 each. Walk-In/Call@ 18602008888/Order Online@ goo.gl/CQThqp /Mobile App. T&C
ham,"Experience the ""All New Domino's Pizza"". Your order no is 86. Click http://piza.store/di/23592479953116575.Png to check if we got your order right."
ham,Your Domino's 4 digit verification code is 8445
ham,We have received your order no.136 amounting to Rs.558 and its being prepared.You can track your order at http://bit.ly/1PfGWYl Thank You!
ham,We have received your order no.340 amounting to Rs.1340 and its being prepared.You can track your order at http://bit.ly/1PfGWYl Thank You!
ham,Your Domino's 4 digit verification code is 7142
ham,We have received your order no.158 amounting to Rs.562 and its being prepared.You can track your order at http://bit.ly/1PfGWYl Thank You!
ham,We have received your order no.40 amounting to Rs.344 and its being prepared.You can track your order at http://bit.ly/1PfGWYl Thank You!
spam,We hope you liked the All New Domino's Pizza. We would Love to hear your feedback. Click http://piza.io/d/a.asp?i=73435319953116575
spam,Domino's Pizza live kitchen @ weddings now! We serve in the most memorable occasion in your life @ very nominal prices. Call VRajendra: 9818324477
spam,"Dear Customer, Open iWish flexible RD and get Amazon voucher worth Rs. 100, Top 100 customers daily to win vouchers. Details at goo.gl/MxQS9T . T&C."
spam,"Dear Customer, secure your health along with tax benefit u/s 80D* with ICICI Lombard Health Plans through ICICI Bank. Details at bit.ly/2AVOzQR . T&C. UIN4718."
spam,"Dear Customer, dream of a bigger home made possible with enhanced eligibility of up to 20%* with ICICI Bank Home Loans. For dtls, visit https://goo.gl/nTHZ2v .T&C."
spam,"Dear Customer, shop using Internet Banking at AJIO.com & get Rs. 400 off on purchase of Rs. 1499 and above. Use Promo Code ICICI400. Offer till 31-Jan-18. Details at goo.gl/7TNnD3 . T&C apply."
spam,Body Massage Call 9210459107 spachanakya.com
spam,"Kotak 811 Savings Account gives you up to 6%* interest p.a. with no balance commitments. Get 811 now, http://bit.ly/Kotakm4 *T&C apply."
spam,"No extra Roaming charges, pay same as home call rates just recharge with Rs 51/-. Validity 28 Days. Dial *444*510# to activate now"
spam,"No extra Roaming charges, pay same as home call rates just recharge with Rs 51/-. Validity 28 Days. Dial *444*510# to activate now"
spam,Roam aur Home ek samaan call rate sirf Rs.51 ke recharge pe ! Abhi activate karne ke liye dial karein *444*510#
spam,"Dear Customer, Standard SMS Tariff of Rs.1/,Rs.1.5 /,Rs.5/ will apply for Local/National/International SMS on 31-Dec17 & 1-Jan18 on account of New Year."
spam,"Hello! As directed by the Govt. of India, re-verify your mobile number with your Aadhar number by 6-Feb'18. Please visit any of our Vodafone outlet."
spam,"Dear Customer, Check your Recharge Offers, Data Pack Balance, Balance Deduction & much more by dialling *111#(toll free)."
spam,"Hello! As directed by the Govt. of India, re-verify your mobile number with your Aadhar number by 31st March'18. Please visit any of our Vodafone outlet."
spam,Your plan for Jio no. 8178390589 will expire on 03-12-2017. Recharge with Rs.399 plan today and enjoy FIRST EVER TRIPLE CASHBACK upto Rs.2599. HURRY! Offer available for LIMITED PERIOD. Click http://jio.com/r/QoLSEkGL to recharge now. T&C apply
spam,Your plan for Jio no. 8178390589 will expire on 03-12-2017. Recharge with Rs.399 plan today and enjoy FIRST EVER TRIPLE CASHBACK upto Rs.2599. HURRY! Offer available for LIMITED PERIOD. Click http://jio.com/r/QwPHfd6D to recharge now. T&C apply
spam,Gift a JioPhone to your loved ones & connect via video calls every day. Now at a store near you http://jio.com/r/SMC8zpRI Limited stocks available. Team Jio
spam,Jio presents India's 1st Prepaid Auto Recharge. Register for JioAutoPay now and get cashback upto Rs.600. Click http://jio.com/r/UeVMb0c5
ham,"Shipped: Your Asus Core i7 7th Gen -... with order ID OD111046594996684000 has been shipped and will be delivered by Friday, Dec 22, 2017. You will receive another SMS when Ekart Logistics's Wishmaster is out to deliver it. Track your shipment here http://fkrt.it/H~R58TuuuN"
spam,"Dear Customer, You have a missed call from +919990203576 The last missed call was at 01:58 PM on 27-Dec-2017 Thankyou, Team Jio."
spam,"Upload Selfie & Win Rs.1 Lac Cash. Selfiefever.com Presents, Great India Selfie Contest. https://play.google.com/store/apps/details?id=com.uks.selfiefever"
ham,"PNR 2716116285 ticket cancelled, Amt 170 will be refunded in your a/c with in 3-4 days. Please check your account/instrument from which this tkt was booked."
ham,"PNR:2437275075,TRAIN:12452,DOJ:04-10-17,SL,NDLS-CNB,Dep:23:55, UDDESHYA SINGH,S6 29, Fare:390,SC:0.0+PG+INS"
ham,"PNR:2501821248,TRAIN:12003,DOJ:15-12-17,CC,CNB-NDLS,Dep:16:55, UDDESHYA SINGH,RLWL 10, Fare:1185,SC:0.0+PG+INS"
ham,"PNR 2501821248 ticket cancelled, Amt 1120 will be refunded in your a/c with in 3-4 days. Please check your account/instrument from which this tkt was booked."
ham,"PNR:2602004723,TRAIN:12033,DOJ:16-12-17,CC,CNB-NDLS,Dep:06:00, UDDESHYA SINGH,C6 14, Fare:1030,SC:0.0+PG+INS"
spam,YOU ARE NOT ALONE!! A trip where everyone is a stranger but share similar interests. Book @ Rs4999 https://goo.gl/RUuvdW Call: 7291972815
spam,"Be the next Vodafone SUPERFAN, watch world class badminton matches live in action and get the signed shuttle at the end of the match! SMS ""SUPERFAN <City Name>"" to 199. T&C apply"
spam,LAST DAY for Lenskart Steal Deal! Exchange your old specs & get 50% cashback on your next purchase. Click Lenskart.com/eye or Find nearby store lenskart.com/s
spam,"Dear Customer, do the most number of transactions using 'Scan to Pay' on iMobile app and get rewarded. Details at goo.gl/SvenfR . T&C apply."
spam,"Dear Customer, opening PPF/NPS account is now faster, easier & paperless with Internet Banking or iMobile app. Login at goo.gl/3Zf4ru . T&C apply."
spam,"CONGRATS!YOUR MOBILE NUMBER HAVE WON 1.70CRORE ON SAMSUNG GALAXY PRIZE UK,FOR CLAIM SEND YOUR NAME,MOBILE NO,ADDRESS,SEX,AGE TO EMAIL:samprize189@gmail.com"
ham,Payment Recieved. Your Reciept No:1323237 and bank Ref No:CPC1182928
spam,"Congratulations! You have received 8 MyJio Vouchers and a coupon each of AJio, Reliance Trends and Yatra. You will be able to redeem these vouchers & coupons post 20th Nov, 2017. T&C Apply."
spam,"Dear Customer, 870723 is your one time password (OTP). Please enter the OTP to proceed. Thank you, Team Jio"
spam,Welcome to Jio-UP & Uttarakhand. Enjoy Free Incoming calls and Outgoing calls anywhere in India while roaming. 4G Data & SMS benefits will be as per your plan.
spam,Welcome to Jio-UP. Enjoy Free Incoming calls and Outgoing calls anywhere in India while roaming. 4G Data & SMS benefits will be as per your plan.
spam,"Kotak introduces 811 - an instant savings account. Get Zero Balance Banking, interest up to 6%* p.a. http://kotk.in/4R28kg *T&C apply."
spam,Use 339097 as your login code for Tinder. (Account Kit by Facebook)
spam,"Dear Customer, Open iWish flexible RD and get Amazon voucher worth Rs. 100, Top 100 customers daily to win vouchers. Details at goo.gl/MxQS9T . T&C."
spam,"Hi, UNBELIEVABLE instant approval Credit Card offers! Explore now. bankbzr.com/d/KraQST/7c3c TnC apply"
spam,"Dear Customer, now buy Google Play Recharge Code through iMobile app or Internet Banking! Redeem the code on Play Store & get an e-book worth Rs. 700. Offer valid till 7-Dec-2017. Details at goo.gl/b97jm9 . T&C apply."
spam,Advance Booking open for BE/BTech Admission in Thapar/DCE/DA-IICT/JP/YMCA/SRM/VIT & NIT's Under NRI/MGMT Quota for 2018 Batch.Hurry Up Limited Seats-9211103344
spam,"It's a great news! now we are starting crash courses for A/C's,ENG,B.ST,IP &ECO(fee 6500/sub) from tomorrow in PITAMPURA (FD-6,2nd Floor,Near Pitampura Metro Stn) 2) D-12/25-26,SEC-8. 3) D-15/27-28,SEC-3 ROHINI.CALL 8447841933 V-STUDY"
spam,"It's a great news! now we are starting crash courses for A/C's,ENG,B.ST,IP &ECO(fee 6500/sub) in PITAMPURA, SEC-8.& SEC-3 ROHINI.CALL 8447841933 V-STUDY"
spam,"Join CRASH COURSE for A/c's,ENG,B.ST,IP &ECO. Batches starting today at D-15/27-28,SEC-3 NEAR AYODHYA CHOWK,ROHINI.& FD-6,PITAMPURA. CALL 8447841933 V-STUDY"
ham,Aaj ho rhi hai pdai
ham,Acchi wali
spam,Lenskart celebrates 32 Optical Stores in Delhi NCR! Get 2 High Quality Specs with Anti-Glare Lenses for Rs 2500 Only. Locate your Nearest Store: lenskart.com/s
spam,"Lenskart's Bestselling AIR Collection: Light Weight,Flexible,Sporty. 2 Specs for Rs. 2500 (With Lenses) on w.lenskart.com/jyqn |Store: lenskart.com/s"
spam,Just invited you to Hike. Join in 24 hours and get Rs. 51 for free in your Wallet. I will get Rs. 51 too. Download Now http://go-hike.in/a/Aor3IRVg
ham,yadavayushmaan08@gmail.com Bhej do ppt
spam,"FREE DENTAL CHECKUP & X-Ray from MY FAMILY DENTIST. Get Full Mouth Scaling at Rs 499. Also, avail 0% EMI on all treatments for appointment Call on 01165025000."
